Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;Comments
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;68;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;67;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;64;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;75;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;22;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;51;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;66;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;37;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;41;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;56;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;56;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Male;63;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;6;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;21.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Rural;Female;50;Conflict affected;YES;
