_ID;Project;Payment Done;Amount
384316038;BHA - UKR-000284;YES;13320
384316044;BHA - UKR-000284;YES;39960
384316053;BHA - UKR-000284;YES;33300
384316057;BHA - UKR-000284;YES;13320
384316061;BHA - UKR-000284;YES;26640
384316067;BHA - UKR-000284;YES;6660
384316075;BHA - UKR-000284;YES;13320
384316087;BHA - UKR-000284;YES;19980
384316100;BHA - UKR-000284;YES;13320
384316109;BHA - UKR-000284;YES;6660
384316120;BHA - UKR-000284;YES;19980
384316127;BHA - UKR-000284;YES;19980
384316133;BHA - UKR-000284;YES;13320
384316142;BHA - UKR-000284;YES;13320
384316149;BHA - UKR-000284;YES;19980
384316157;BHA - UKR-000284;YES;19980
384316164;BHA - UKR-000284;YES;19980
384316172;BHA - UKR-000284;YES;19980
384316183;BHA - UKR-000284;YES;19980
384316205;BHA - UKR-000284;YES;19980
384316212;BHA - UKR-000284;YES;26640
384316220;BHA - UKR-000284;YES;33300
384316228;BHA - UKR-000284;YES;6660
384316236;BHA - UKR-000284;YES;13320
384316239;BHA - UKR-000284;YES;19980
384316249;BHA - UKR-000284;YES;6660
384316261;BHA - UKR-000284;YES;13320
384316262;BHA - UKR-000284;YES;13320
384316277;BHA - UKR-000284;YES;6660
384316280;BHA - UKR-000284;YES;26640
384316281;BHA - UKR-000284;YES;33300
384316285;BHA - UKR-000284;YES;46620
384316286;BHA - UKR-000284;YES;13320
384316292;BHA - UKR-000284;YES;13320
384316298;BHA - UKR-000284;YES;6660
384316304;BHA - UKR-000284;YES;19980
384316311;BHA - UKR-000284;YES;13320
384316317;BHA - UKR-000284;YES;13320
384316325;BHA - UKR-000284;YES;19980
384316339;BHA - UKR-000284;YES;33300
384316351;BHA - UKR-000284;YES;33300
384316355;BHA - UKR-000284;YES;26640
384316363;BHA - UKR-000284;YES;13320
384316375;BHA - UKR-000284;YES;13320
384316380;BHA - UKR-000284;YES;13320
384316389;BHA - UKR-000284;YES;19980
384316396;BHA - UKR-000284;YES;26640
384316412;BHA - UKR-000284;YES;19980
384316418;BHA - UKR-000284;YES;26640
384316422;BHA - UKR-000284;YES;6660
384316427;BHA - UKR-000284;YES;6660
384316432;BHA - UKR-000284;YES;19980
384316451;BHA - UKR-000284;YES;13320
384316460;BHA - UKR-000284;YES;19980
384991545;BHA - UKR-000284;YES;6660
377242245;BHA - UKR-000284;YES;13320
377242261;BHA - UKR-000284;YES;19980
377242281;BHA - UKR-000284;YES;39960
377242289;BHA - UKR-000284;YES;13320
377242315;BHA - UKR-000284;YES;13320
377242332;BHA - UKR-000284;YES;13320
377242358;BHA - UKR-000284;YES;13320
377242365;BHA - UKR-000284;YES;26640
377242431;BHA - UKR-000284;YES;19980
377242461;BHA - UKR-000284;YES;13320
